period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2025-10-13,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.29562,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-20,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.41948,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-27,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",64.90503,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-03,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.1668,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-10,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",65.89595,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-17,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.37819,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-24,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",79.85136,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-01,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.33195,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-08,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",70.93311,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-15,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",74.56647,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-22,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",54.12881,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-12-29,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",55.90421,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
