period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2026-03-30,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.06936,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-06,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.22543,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-13,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.85383,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-20,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.69777,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-27,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.61519,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-04,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.86292,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-11,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.90421,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-18,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.19322,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-05-25,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",9.00082,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-01,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",6.93641,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-08,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",7.308,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-06-15,KW2_공백기_존재,공백기의 존재를 확인하기 위함,"기숙사 퇴소, 방학 자취방 양도, 방학 원룸 양도, 자취방 양도, 원룸 양도, 자취방 단기임대, 원룸 단기임대",5.98678,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
