feature,coefficient,abs_coef
consignment_positive,1.1120233753560114,1.1120233753560114
pain_space,1.1000393492246832,1.1000393492246832
trust_score,0.9466352563708001,0.9466352563708001
occupation_프리랜서,-0.9293643940082493,0.9293643940082493
pain_cost,0.9254950819383694,0.9254950819383694
move_frequency,0.7603875168173809,0.7603875168173809
age_group_40대,-0.7544592344260901,0.7544592344260901
occupation_직장인,0.7508985196518013,0.7508985196518013
pain_score,0.624304886884851,0.624304886884851
has_rental_experience,0.6017023633889121,0.6017023633889121
age_group_10대,0.5408091435162737,0.5408091435162737
age_group_20대,0.5084522228145038,0.5084522228145038
occupation_자영업자,0.4454516159001198,0.4454516159001198
occupation_무직,-0.42630180724814987,0.42630180724814987
age_group_50대이상,-0.42131158681998443,0.42131158681998443
gender_여자,0.40834409210651396,0.40834409210651396
gender_남자,-0.40385619152712143,0.40385619152712143
housing_type_3인 가구,-0.39499793448795406,0.39499793448795406
housing_type_1인 가구,0.38724937862909137,0.38724937862909137
is_single_household,0.38724937862909137,0.38724937862909137
occupation_취업 준비 중,0.2908929171677576,0.2908929171677576
storage_need_score,0.2148648837214382,0.2148648837214382
housing_type_4인 가구 이상,0.21124853604580165,0.21124853604580165
housing_type_2인 가구,-0.19901207960754677,0.19901207960754677
pain_transport,0.18423776264963537,0.18423776264963537
age_group_30대,0.13099735549468824,0.13099735549468824
occupation_대학생,-0.12708895088388703,0.12708895088388703
