rank,respondent_id,gender,age_group,occupation,housing_type,move_frequency,storage_need_score,pain_score,trust_score,has_rental_experience,consignment_positive,is_single_household,pain_transport,pain_space,pain_cost,predicted_q6_score,predicted_prob_pct,actual_prob_pct,predicted_preference,actual_preference,q6_service_intent
1,23,여자,50대이상,취업 준비 중,4인 가구 이상,3,2,3.0,2.0,1,0,0,0,1,0,2.64,52.8,40.0,0,0,2.0
2,14,여자,30대,취업 준비 중,3인 가구,0,1,1.0,4.0,0,0,0,0,0,0,2.89,57.8,60.0,0,0,3.0
3,24,남자,50대이상,프리랜서,4인 가구 이상,0,2,2.0,3.0,0,1,0,0,1,1,3.1,62.0,60.0,0,0,3.0
4,2,남자,20대,무직,4인 가구 이상,2,5,3.0,3.0,0,1,0,0,0,0,3.3,66.1,60.0,0,0,3.0
5,22,남자,40대,프리랜서,1인 가구,0,4,3.0,3.0,1,1,1,0,1,1,3.34,66.8,60.0,0,0,3.0
