content_id,platform_id,platform_name,keyword,title,content_text,date
396822535,4,everytime,단기 임대,단기임대 가능한 숙소 구합니다,안녕하세요!남자이고요단기임대 가능한 숙소 구합니다!12월말부터 2월말까지 원합니다!감사합니다!댓글이나 쪽지 부탁드립니다!,2026-12-23
396775941,4,everytime,단기 임대,단기임대 구합니다!,위치 상관 없어요. 26-1에 살 집 구합니다깨끗하게 사는편이에요! 연락 부탁드립니당,2026-12-23
396707155,4,everytime,단기 임대,26-1 원룸 단기임대 구해용,위치 상관없습니다2월 입주 희망합니다쪽지주세요!,2026-12-22
396707138,4,everytime,단기 임대,26-1 단기임대 구해요,위치 상관없습니다쪽지주세요2월 입주 희망합니당,2026-12-22
396660331,4,everytime,단기 임대,단기임대 구합니다!,원룸 단기임대 학교 근처아니어도 되고 2월 말부터 4월 말까지 제가 들어갈겁니다! 쪽지주세요!,2026-12-21
396518862,4,everytime,단기 임대,원룸 단기임대 구합니다(26-1),3월부터도 좋고 2월부터도 좋아요쪽지 남겨주세요! 제가 들어갈 집 구하는겁니당,2026-12-19
396336963,4,everytime,단기 임대,영등포 신축 오피스텔 단기임대,"안녕하세요영등포역 인근 신축 오피스텔 단기임대하실 학우분 구해봅니다!개인 사정상 내년에 입주가 가능할 것 같아서 최소 3개월 이상 단기임대하실 분 찾고있습니다(거주기간은 유연하게 조정가능합니다)전용면적은 20.07m2 원룸이고,영등포역 근방이라",2026-12-17
396336483,4,everytime,단기 임대,영등포 신축 오피스텔 단기임대,"안녕하세요영등포역 인근 신축 오피스텔 단기임대하실 학우분 구해봅니다!개인 사정상 내년에 입주가 가능할 것 같아서 최소 3개월 이상 단기임대하실 분 찾고있습니다(거주기간은 유연하게 조정가능합니다)전용면적은 20.07m2 원룸이고,영등포역 근방이라",2026-12-17
396288468,4,everytime,단기 임대,26-1 단기임대 구해요,동네 상관없으니까 연락주세용,2026-12-16
396097956,4,everytime,단기 임대,원룸 단기임대 구해요!,쪽지주세요 학교랑 안 가까워도 일단 주세요!,2026-12-14
396062520,4,everytime,단기 임대,26-1 원룸 단기임대 구합니다!,쪽지주세요:),2026-12-13
396022538,4,everytime,단기 임대,원룸 단기임대 구해요! (26-1),위치는 학교에서 너무 멀지만 않으면 괜찮습니다! 쪽지주세요!,2026-12-13
395744762,4,everytime,단기 임대,단기임대 구합니다!,1-2월까지 단기임대 구해봅니다!위치는 크게 상관없으며 종강 후 단기임대 생각있으신 분 연락주세요!..,2026-12-09
395472597,4,everytime,단기 임대,충무로 성신여대 등.. 단기임대 구합니다!,26-1구해요 연락주세요!,2026-12-06
395414825,4,everytime,단기 임대,원룸 단기임대 구합니다,혹시 교환 가시는 분들이나 1월~6월 말까지 동대입구 근처나 2호선 라인 자취하시는 분들 중에 단기 임대하실 분 연락 주세용…,2026-12-05
395168770,4,everytime,단기 임대,방학중 자취방 단기임대 구합니다,종강 후~내년 1월 까지 한달정도 지낼 자취방 구합니다.저는 여자라서 여자분이 살던 자취방이면 좋을 것 같습니다!방학 중에 본가 내려가서 방 비는 분들 쪽지 주세용,2026-12-02
394955386,4,everytime,단기 임대,동입 쪽문 자취방 1000/67,"동입 쪽문 나와서 바로인 집입니다1~2월 단기임대자나 1월입주자 찾습니다베란다, 침대, 세탁기, 전자레인지, 책상, 의자, 붙박이장 있고 7평정도로 넓고 쾌적합니다침대가 퀸사이즈여서 단기로 친구랑 살아도 됩니다집주인이 건물 꼭대기층에 거주해",2026-11-28
394214617,4,everytime,단기 임대,26-1 성신여대입구 원룸 6개월 단기임대,"한 학기동안 교환을 다녀와야해서 2월부터 7월 말까지 약 6개월 단기 입주하실 분 구합니다!- 월세 65 (전기, 가스 별도)- 약 6평(원룸 형태인데 구조상 약간 주방 분리)- 비흡연자 여성분 선호- 학교까지 지하철 15분- 엘베",2026-11-16
393410071,4,everytime,단기 임대,삼성전자 vs 하이닉스 복지 비교,본인상 삼성전자 압승 !,2026-11-03
392905372,4,everytime,단기 임대,(영등포역) 신축 오피스텔 단기임대,"안녕하세요영등포역 근방 신축 오피스텔 단기임대하실 학우분 구해봅니다!원래 제가 10.31입주예정인 집이었는데개인 사정상 내년에 입주가 가능할 것 같아서 그때까지 최소 2개월 이상 단기임대하실 분 찾고있습니다전용면적은 20.07m2 원룸이고,",2026-10-27
388551170,4,everytime,단기 임대,1666호 지면 pdf입니다 🗞️,동대신문 1666호가 발행됐습니다!1️⃣학교 곳곳에 비치된 배부대의 지면신문2️⃣동대신문 홈페이지 www.donggukmedia.com를 통해 1666호를 확인하실 수 있습니다 🙌#동대신문 #1666호 #동국대 #동국대학교 #학보사 #지면신문 #온라인신문 #d,2026-09-01
386940145,4,everytime,단기 임대,원룸 4개월 단기임대방 구합니다,"8월중~12월중 2학기 동안 쓸 수 있는 방 구합니다!(기간 조율 가능)학교 근처면 제일 좋지만, 학교 통학 20분내로 가능한 곳이여도 좋습니다혹시 임대하실 분 있으면 쪽지 부탁드립니다아 전 여성입니다!",2026-08-11
385917590,4,everytime,단기 임대,6개월 단기임대,나는 현재 군인이고 학교근처 성신여대나 혜화쪽에서 자취를 하고싶은데 26년2월 부터 6개월정도 단기 임대를 하고 싶어. 근데 매물이 별로 없어서 1년이상 계약을 하고 6개월은 내가 살고 나머지 2학기는 다른 사람을 연결해줘야 하는데 가능 하려나? 예상은 보증금1000에 60정도 예상하고,2026-07-27
382670345,4,everytime,단기 임대,원룸 단기 구합니다,"23살 여학생이구요!6월말~8월30일까지 단기임대 구하고있습니다! 학교 근처 아니여도 괜찮고, 서울 동남부면 좋습니다:) 연락주시면 감사하겠습니다..!",2026-06-12
381690609,4,everytime,단기 임대,단기 임대 구합니다,8월초부터 괜찮고 12월 말까지 살 집 구합니다학교 20분 거리 안쪽이면 좋겠고월세는 max 50~55 정도로 생각하고 있습니다!쪽지주세요,2026-06-03
381590014,4,everytime,단기 임대,1665호 지면 pdf입니다 🗞️,동대신문 1665호가 발행됐습니다!1️⃣학교 곳곳에 비치된 배부대의 지면신문2️⃣동대신문 홈페이지 www.donggukmedia.com를 통해 1665호를 확인하실 수 있습니다 🙌#동대신문 #1665호 #동국대 #동국대학교 #학보사 #지면신문 #온라인신문 #d,2026-06-02
381506460,4,everytime,단기 임대,7-8월 단기임대 구해용,쪽지 주세용월세 60까지 가능합니다!!,2026-06-01
380785951,4,everytime,단기 임대,제21대 대통령선거 국민의힘 김문수 후보 공약,"[공약순위: 1 제목: 자유 주도 성장, 기업하기 좋은 나라]분야: 재정‧경제‧복지, 국방‧통일‧외교통상, 산업자원‧건설교통목표○ 자본, 기술, 노동 3대 혁신으로 경제를 대전환하여 함께 잘사는 새로운 성장과 번영의 시대 실현○ 민간 및 기업의",2026-05-24
380326784,4,everytime,단기 임대,단기 임대 원룸 8~9평,"작성자(집주인):20대 여자2호선 대림역 도보 4분 거리신축이고 세탁기 건조기 전자레인지 냉장고 에어프라이기 침대(퀸사이즈) 책상 등등 다 있습니다관리비,수도비,전기,가스비 다 포함해서 월세 50으로 받으려고 생각중이예요본가 가 있는 동안 내놓",2026-05-19
